"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"57 450 грн","ЖК Парк-холл Горький","Нова забудова","Голосіївський","4 кімнати","190 / 100 / 25 м²","поверх 6 з 12","спец. проект","монолітно-каркасний","2014"
"53 620 грн","ЖК Кловський узвіз, 5","Печерськ","Печерський","4 кімнати","160 / 88 / 20 м²","поверх 9 з 18","спец. проект","монолітно-каркасний","2003"
"45 000 грн","Нова забудова","Голосіївський","Київ","4 кімнати","165 / 80 / 17 м²","поверх 7 з 14","спец. проект","монолітно-каркасний","2001"
"47 875 грн","ЖК Придніпровський","Лівобережний масив","Дніпровський","4 кімнати","146 / 90 / 25 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2005"
"45 000 грн","ЖК Корона","Позняки","Дарницький","4 кімнати","114 / 80 / 20 м²","поверх 19 з 36","спец. проект","монолітно-каркасний","2007"
"15 000 грн","Нова Дарниця","Дарницький","Київ","4 кімнати","86 / 65 / 12 м²","поверх 2 з 9","серія 96","утеплена панель","1988"
"45 960 грн","ЖК Печерський квартал","Чорна Гора","Печерський","4 кімнати","128 / 85 / 18 м²","поверх 14 з 23","спец. проект","монолітно-каркасний","2012"
"38 300 грн","Печерськ","Печерський","Київ","4 кімнати","120 м²","12 поверх","спец. проект","цегляний будинок","1995"
"58 000 грн","Солдатська слобідка","Шевченківський","Київ","5 кімнат","180 м²","9 поверх","спец. проект","монолітно-каркасний","2006"
"27 300 грн","ЖК просп. Бажана, 16","Осокорки","Дарницький","4 кімнати","122 / 78 / 15 м²","3 поверх","спец. проект","монолітно-каркасний","2003"
"103 410 грн","Старий Київ","Шевченківський","Київ","4 кімнати","220 / - / 25 м²","поверх 2 з 11","спец. проект","цегляний будинок","2003"
"134 050 грн","Шевченківський","Київ","","6 кімнат","270 / 175 / 20 м²","поверх 4 з 6","","",""
"26 810 грн","Історичний центр","Шевченківський","Київ","4 кімнати","85 / - / 35 м²","поверх 8 з 17","совмін","цегляний будинок","1971"
"68 940 грн","Солдатська слобідка","Шевченківський","Київ","4 кімнати","150 / - / 15 м²","поверх 4 з 9","спец. проект","монолітно-каркасний","2005"
"42 130 грн","Нова забудова","Печерський","Київ","4 кімнати","126 / - / 50 м²","поверх 9 з 16","","",""
"91 920 грн","ЖК Оазис","Оболонь","Оболонський","4 кімнати","225 / - / 25 м²","поверх 4 з 5","спец. проект","монолітно-каркасний","2008"
"40 000 грн","Осокорки","Дарницький","Київ","5 кімнат","267 / - / 20 м²","поверх 22 з 23","спец. проект","монолітно-каркасний","2004"
"114 900 грн","ЖК Нова Англія","Голосіїво","Голосіївський","4 кімнати","150 / - / 65 м²","поверх 2 з 13","","",""
"20 000 грн","Осокорки","Дарницький","Київ","4 кімнати","120 / - / 24 м²","поверх 3 з 9","цегляний будинок","",""
"383 000 грн","Печерський","Київ","","5 кімнат","290 / - / 12 м²","поверх 6 з 30","цегляний будинок","",""
"383 000 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","290 / - / 30 м²","поверх 7 з 29","","",""
"248 950 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","217 / - / 40 м²","поверх 21 з 30","цегляний будинок","",""
"459 600 грн","Звіринець","Печерський","Київ","5 кімнат","302 / - / 97 м²","поверх 4 з 6","","",""
